City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,manaure,11.7751,-72.4445,32.25,49,50,6.91,CO,1683839691
330,sinop,41.7711,34.8709,6.5,93,86,2.23,TR,1683839691
331,egilsstadir,65.2653,-14.3948,11.24,72,100,5.09,IS,1683839648
332,san jose,37.3394,-121.895,22.42,56,20,9.26,US,1683839347
333,ulsteinvik,62.3432,5.8487,11.61,94,99,0.79,NO,1683839692
334,sitka,57.0531,-135.33,13.94,51,75,6.17,US,1683839692
335,kirakira,-10.4544,161.9205,27.58,84,63,4.85,SB,1683839692
336,vernon,50.2581,-119.2691,24.61,28,75,1.03,CA,1683838837
337,ribas do rio pardo,-20.4431,-53.7592,20.34,73,73,3.05,BR,1683839693
338,nahiyat ash shinafiyah,31.5874,44.6602,30.96,14,0,4.3,IQ,1683839693
339,fomboni,-12.28,43.7425,27.66,72,2,2.3,KM,1683839693
340,saiha,22.4833,92.9667,21.22,70,100,1.28,IN,1683839693
341,ryotsu-minato,38.0833,138.4333,11.26,72,0,2.58,JP,1683839411
342,pacific grove,36.6177,-121.9166,19.19,75,75,5.14,US,1683839694
343,el calafate,-50.3408,-72.2768,8.53,77,100,2.7,AR,1683839694
344,misratah,32.3754,15.0925,19.2,71,19,1.65,LY,1683839694
345,papao,-17.75,-149.55,27.82,91,100,8.77,PF,1683839695
346,oppdal,62.5943,9.6912,8.33,90,100,1.07,NO,1683839695
347,lamu,-2.2717,40.902,27.12,85,67,5.22,KE,1683839696
348,haiku-pauwela,20.9219,-156.3051,29.01,45,20,9.26,US,1683839694
349,nikolayevsk-on-amure,53.1406,140.73,4.07,68,10,1.29,RU,1683839696
350,yazykovo,55.2199,56.1353,8.25,67,99,3.95,RU,1683839696
351,sidney,-33.8679,151.2073,12.44,89,20,3.6,AU,1683839538
352,bogo,11.0517,124.0055,26.74,85,98,3.22,PH,1683839697
353,indramayu,-6.3264,108.32,27.09,83,92,4.04,ID,1683839697
354,horta,38.5333,-28.6333,15.57,82,2,2.24,PT,1683839697
355,mount pearl,47.5166,-52.7813,9.69,44,14,4.02,CA,1683839698
356,valley city,46.9233,-98.0032,25.29,53,0,6.17,US,1683839698
357,dinghaicun,26.2847,119.7936,17.49,75,94,4.22,CN,1683839698
358,plettenberg bay,-34.0527,23.3716,14.59,85,100,5.37,ZA,1683839699
359,remire-montjoly,4.9167,-52.2667,25.02,88,75,1.03,GF,1683839699
360,bengkulu,-3.8004,102.2655,25.35,85,62,2.3,ID,1683839699
